Date,Open,High,Low,Close,Volume
2025-01-19,2701.88,2702.57,2690.93,2696.41,128
2025-01-20,2695.87,2713.57,2688.9,2710.18,3188
2025-01-21,2709.69,2745.69,2703.18,2744.2,3578
2025-01-22,2744.24,2763.1,2742.71,2755.28,3588
2025-01-23,2755.76,2758.61,2736.09,2754.18,3576
2025-01-24,2754.39,2785.44,2754.1,2770.96,3422
2025-01-26,2771.45,2771.45,2765.54,2767.1,136
2025-01-27,2767.03,2772.26,2731.16,2742.32,3582
2025-01-28,2742.22,2764.78,2734.87,2762.64,3576
2025-01-29,2765.72,2765.84,2744.6,2759.96,3414
2025-01-30,2760.1,2798.12,2758.3,2796.0,3618
2025-01-31,2796.26,2816.82,2791.22,2797.46,3430
2025-02-02,2797.25,2801.46,2784.67,2792.51,129
2025-02-03,2792.84,2829.85,2772.21,2813.34,3581
2025-02-04,2813.44,2844.8,2807.22,2841.19,3596
2025-02-05,2841.36,2882.01,2839.4,2868.78,3599
2025-02-06,2868.78,2872.85,2835.26,2857.86,3611
2025-02-07,2858.24,2886.24,2853.69,2860.09,3439
2025-02-09,2860.45,2869.93,2858.3,2867.22,136
2025-02-10,2867.41,2921.28,2865.1,2917.64,3607
2025-02-11,2917.28,2942.18,2882.52,2898.27,3579
2025-02-12,2897.94,2908.94,2864.99,2905.82,3508
2025-02-13,2906.15,2932.06,2901.4,2930.86,3548
2025-02-14,2931.23,2939.93,2876.99,2882.14,3446
2025-02-16,2882.55,2892.97,2878.44,2879.37,127
2025-02-17,2879.62,2906.2,2879.1,2899.18,3220
2025-02-18,2899.13,2936.78,2891.84,2933.76,3598
2025-02-19,2933.74,2946.69,2918.8,2935.19,3582
2025-02-20,2935.7,2954.71,2924.35,2940.81,3589
2025-02-21,2942.05,2949.0,2917.83,2935.49,3414
2025-02-23,2935.5,2939.9,2934.95,2936.21,128
2025-02-24,2936.68,2955.84,2921.47,2949.81,3585
2025-02-25,2950.25,2952.25,2890.21,2918.31,3573
2025-02-26,2918.88,2929.89,2890.88,2919.26,3583
2025-02-27,2918.91,2919.44,2868.41,2876.02,3590
2025-02-28,2875.66,2884.44,2832.8,2857.09,3399
2025-03-02,2858.01,2875.12,2858.01,2870.48,133
2025-03-03,2868.88,2894.74,2858.7,2890.63,3594
2025-03-04,2890.34,2927.42,2880.9,2914.17,3561
2025-03-05,2914.29,2929.43,2894.6,2917.82,3568
2025-03-06,2917.78,2926.35,2891.96,2909.92,3561
2025-03-07,2909.53,2929.97,2897.38,2907.14,3406
2025-03-09,2907.14,2916.66,2907.14,2916.19,257
2025-03-10,2916.56,2917.92,2879.2,2884.32,3574
2025-03-11,2885.4,2921.17,2881.7,2915.24,3583
